ProjectID,Agency Name,Official Address,Program Area,General Fund,HOPWA,Housing Trust Fund,CDBG,ESG,SOMA,Other,Total
73654-15,Consumer Credit Counseling Service of San Francisco,595 Market St. 15th Floor,Public Services - Financial Counseling Integration Pilot,"475,316.00",,,"200,000.00",,,"232,471.21","907,787.21"
74698-15,Consumer Credit Counseling Service of San Francisco,595 Market Street - 15th Floor,Public Services - Access to Housing,,,,,,"80,000.00",,"80,000.00"
81964-15,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor",Public Services - Financial Counseling Integration Pilot,,,,,,,0.00,0.00
73477-15,Corporation for Supportive Housing,"369 Pine Street, Suite 350",Housing Development Grants,,,"360,000.00",,,,,"360,000.00"
75068-15,Corporation for Supportive Housing,"369 Pine St., Suite 350",Organizational Capacity Building,,,,,,,"21,936.45","21,936.45"
76986-15,Cross Cultural Family Center,P. O. Box 15366,Capital Projects,,,,"27,467.00",,,,"27,467.00"
73478-15,Dolores Street Community Services,938 Valencia St,Public Services - Legal Services,"1,209,800.00",,,,,,,"1,209,800.00"
73613-15,Dolores Street Community Services,220 Dolores Street,Public Services - Supportive Housing for PLWHA,,"479,350.00",,,,,,"479,350.00"
73674-15,Dolores Street Community Services,938 Valencia St,Public Services - Legal Services,"224,475.00",,,,,,,"224,475.00"
73679-15,Dolores Street Community Services,938 Valencia Street,Public Services - Legal Services,,,,"50,000.00",,,,"50,000.00"
73683-15,Dolores Street Community Services,938 Valencia Street,Public Services - Homeless Services,,,,,"52,176.00",,,"52,176.00"
82674-15,Dolores Street Community Services,938 Valencia,Organizational Capacity Building,"75,000.00",,,,,,,"75,000.00"
77858-15,Dolores Street Community Services,938 Valencia Street,Capital Projects,,,,"58,976.82",,,,"58,976.82"
73479-15,Donaldina Cameron House,920 Sacramento Street,Public Services - Foundational Competencies,"6,708.25",,,,,,,"6,708.25"
73623-15,Donaldina Cameron House,920 Sacramento Street,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
73749-15,Donaldina Cameron House,920 Sacramento Street,Public Services - Service Connection,"51,250.00",,,,,,,"51,250.00"
73662-15,Donaldina Cameron House,920 Sacramento St.,Capital Projects,,,,"168,362.00",,,,"168,362.00"
76055-15,Donaldina Cameron House,920 Sacramento St.,Capital Projects,,,,"189,433.00",,,,"189,433.00"
73573-15,EARN (Earned Assets Resource Network),"235 Montgomery Street, Suite 470",Public Services - Financial Education,,,,,,"50,000.00",,"50,000.00"
83188-15,EARN (Earned Assets Resource Network),"235 Montgomery Street, Suite 470",Public Services - Financial Education,,,,"30,000.00",,,,"30,000.00"
73480-15,Earned Assets Resource Network/Office of the Treasurer,1155 Market Street,Organizational Capacity Building,"14,000.00",,,,,,,"14,000.00"
78489-15,Earned Assets Resource Network/Office of the Treasurer,"1155 Market Street, 8th Floor",Organizational Capacity Building,,,,"14,000.00",,,,"14,000.00"
73591-15,Episcopal Community Services of San Francisco,201 8th Street,Public Services - Homeless Services,,,,,"81,116.00",,,"81,116.00"
73598-15,Episcopal Community Services of San Francisco,"165 - 8th Street, 3rd Floor",Public Services - Foundational Competencies,,,,"70,000.00",,,,"70,000.00"
73483-15,"Eviction Defense Collaborative, Inc.","995 Market Street, #995",Public Services - Eviction Prevention,"121,643.40",,,,,,,"121,643.40"
73594-15,"Eviction Defense Collaborative, Inc.","995 Market Street, #1200",Public Services - Eviction Prevention,"82,720.00",,"559,298.00",,,,,"642,018.00"
73719-15,"Eviction Defense Collaborative, Inc.","995 Market Street, #1200",Public Services - Eviction Prevention,,,"207,245.01",,,,,"207,245.01"
73720-15,"Eviction Defense Collaborative, Inc.","995 Market Street, #1200",Public Services - Eviction Prevention,"410,000.00",,,,,,,"410,000.00"
73574-15,Filipino American Development Foundation,1010 Mission Street,Community Building and Neighborhood Planning,,,,,,"38,036.77",,"38,036.77"
75069-15,Filipino American Development Foundation,1010 Mission Street,Community Building and Neighborhood Planning,,,,,,"50,000.00",,"50,000.00"
74696-15,Filipino American Development Foundation (FADF)/South of Market Community A,1110 Howard Street,Public Services - Service Connection,"18,763.04",,,,,,,"18,763.04"
75070-15,Filipino American Development Foundation (FADF)/South of Market Community A,1110 Howard Street,Public Services - Neighborhood and Business Coordination,,,,,,"75,000.00",,"75,000.00"
77866-15,Filipino American Development Foundation (FADF)/South of Market Community A,1110 Howard Street,Public Services - Service Connection,"91,000.00",,,,,,,"91,000.00"
78033-15,Filipino American Development Foundation (FADF)/South of Market Community A,1110 Howard Street,Organizational Capacity Building,"61,900.13",,,,,,,"61,900.13"
73484-15,Filipino American Development Foundation (FADF)/South of Market Community A,1110 Howard Street,Organizational Capacity Building,"20,700.00",,,,,,,"20,700.00"
73485-15,Filipino American Development Foundation/Pin@y Educational Partnerships (PE,Balboa High School- 1000 Cayuga Ave,Public Services - Service Connection,"92,250.00",,,,,,,"92,250.00"
73486-15,Filipino-American Development Foundation: Filipino Community Center,4681 Mission Street,Public Services - Service Connection,,,,"70,000.00",,,,"70,000.00"
73652-15,Filipino-American Development Foundation: Filipino Community Center,4681 Mission Street,Public Services - Service Connection,"92,942.00",,,,,,,"92,942.00"
73487-15,Friendship House Association of American Indians,56 Julian Ave,Public Services - Homeless Services,,,,,"55,000.00",,,"55,000.00"
73677-15,Friendship House Association of American Indians,56 Julian Ave,Capital Projects,,,,"70,000.00",,,,"70,000.00"
73488-15,Good Samaritan Family Resource Center,1294 Potrero Avenue,Public Services - Foundational Competencies,"52,275.00",,,,,,,"52,275.00"
76601-15,GRID Alternatives,"1171 Ocean Avenue, Suite 200",Housing Development Grants,,,"175,000.00",,,,,"175,000.00"
73490-15,Gum Moon Residence Hall,2327 Clement Street,Public Services - Foundational Competencies,"15,847.47",,,,,,,"15,847.47"
73607-15,Gum Moon Residence Hall,65 Beverly Street,Public Services - Foundational Competencies,"26,747.00",,,,,,,"26,747.00"
73656-15,Gum Moon Residence Hall,940 Washington Street,Public Services - Transitional Housing & Services,,,,,"55,000.00",,,"55,000.00"
73750-15,Gum Moon Residence Hall,2327 Clement St,Public Services - Foundational Competencies,"51,250.00",,,,,,,"51,250.00"
73491-15,Hamilton Families,260 GOLDEN GATE AVE,Public Services - Homeless Services,,,,,"50,000.00",,,"50,000.00"
73641-15,Hamilton Families,255 Hyde Street,Public Services - Eviction Prevention,,,,"40,000.00","43,333.00",,,"83,333.00"
73663-15,Hamilton Families,255 Hyde St,Public Services - Eviction Prevention,,,,,"87,274.00",,,"87,274.00"
73609-15,Hearing and Speech Center of Northern California,1234 Divisadero St.,Public Services - Service Connection,,,,"50,000.00",,,,"50,000.00"
73628-15,Homeless Children's Network,3450 3rd Street Unit 1C,Public Services - Homeless Services,,,,,"50,000.00",,,"50,000.00"
73494-15,Homeless Children's Network,3450 3rd Street Unit 1C,Organizational Capacity Building,"41,398.00",,,,,,,"41,398.00"
73495-15,"Homeless Prenatal Program, Inc.",2500 18th St.,Public Services - Access to Housing,,,,"65,000.00",,,,"65,000.00"
73496-15,HomeownershipSF,275 5th St. Ste 314,Public Services - Sustainable Homeownership,,,"79,648.98",,,,,"79,648.98"
74626-15,HomeownershipSF,275 5th Street #314,Public Services - Sustainable Homeownership,,,"175,000.00",,,,,"175,000.00"
78182-15,HomeownershipSF,275 5th St. Ste 314,Public Services - Sustainable Homeownership,,,"12,415.88",,,,,"12,415.88"
73658-15,HomeownershipSF,275 5th Street #314,Organizational Capacity Building,,,,"45,000.00",,,,"45,000.00"
73497-15,Homies Organizing the Mission to Empower Youth (HOMEY),"1337 Mission Street, Second Floor",Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
73498-15,Housing and Economic Rights Advocates,"1814 Franklin Street, Suite #1040",Public Services - Sustainable Homeownership,,,,"50,000.00",,,,"50,000.00"
73499-15,Independent Living Resource Center of SF,825 Howard Street,Public Services - Access to Housing,,,"20,000.00","35,000.00",,,,"55,000.00"
73500-15,Instituto Laboral de la Raza,2947 - 16th Street,Public Services - Legal Services,,,,"60,000.00",,,,"60,000.00"
73501-15,Justice & Diversity Center of the Bar Association of San Francisco,"301 Battery St., Third Fl.",Public Services - Eviction Prevention,,,"80,000.00","10,000.00",,,,"90,000.00"
78700-15,Justice & Diversity Center of the Bar Association of San Francisco,"301 Battery St., Third Fl.",Public Services - Legal Services,"150,000.00",,,,,,,"150,000.00"
73631-15,Justice & Diversity Center of the Bar Association of San Francisco,125 Hyde St.,Capital Projects,,,,"60,000.00",,,,"60,000.00"
73502-15,La Casa de las Madres,"1663 Mission Street, Suite 225",Public Services - Homeless Services,,,,,"150,000.00",,,"150,000.00"
73504-15,La Raza Centro Legal,"474 Valencia St., Suite 295",Public Services - Legal Services,,,,"50,000.00",,,,"50,000.00"
73505-15,La Raza Community Resource Center,474 Valencia Street Suite 100,Public Services - Legal Services,"53,059.00",,,,,,,"53,059.00"
73619-15,La Raza Community Resource Center,474 Valencia Street Suite 100,Public Services - Legal Services,,,,"80,000.00",,,,"80,000.00"
73506-15,Larkin Street Youth Services,129 Hyde St,Public Services - Supportive Housing for PLWHA,,"348,144.00",,,,,,"348,144.00"
73651-15,Larkin Street Youth Services,869 Ellis St,Public Services - Homeless Services,,,,,"112,000.00",,,"112,000.00"
77859-15,Larkin Street Youth Services,869 Ellis Street,Capital Projects,,,,"175,000.00",,,,"175,000.00"
73507-15,Lavender Youth Rec. & Info. Ct.(LYRIC),127 Collingwood Street,Public Services - Service Connection,,,,"50,000.00",,,,"50,000.00"
74635-15,Lawyers' Committee for Civil Rights of the San Francisco Bay Area,"131 Steuart Street, Suite 400",Public Services - Legal Services,"102,500.00",,,,,,,"102,500.00"
73509-15,Legal Assistance to the Elderly,"701 Sutter Street, 2nd Floor",Public Services - Eviction Prevention,,,"30,000.00",,,,,"30,000.00"
73510-15,Legal Services For Children,1254 Market Street,Public Services - Legal Services,"49,852.00",,,,,,,"49,852.00"
73511-15,Maitri Compassionate Care,401 Duboce Ave.,Public Services - Supportive Housing for PLWHA,,"492,167.00",,,,,,"492,167.00"
73632-15,Maitri Compassionate Care,401 Duboce Ave.,Capital Projects,,"243,174.00",,,,,,"243,174.00"
78213-15,Maitri Compassionate Care,401 Duboce Avenue,Capital Projects,,"38,815.67",,"136,045.83",,,,"174,861.50"
78214-15,Maitri Compassionate Care,401 Duboce Avenue,Capital Projects,,"82,237.00",,,,,,"82,237.00"
73512-15,Mercy Housing CA XVII,1360 mission st.,Public Services - Supportive Housing for PLWHA,,"50,000.00",,,,,,"50,000.00"
73513-15,Mercy Housing California,"1360 Mission St, Suite 300",Public Services - Housing Place-Based Services,"221,750.00",,,,,,,"221,750.00"
73514-15,Mission Asset Fund,3269 Mission Street,Public Services - Financial Education,,,,"65,000.00",,,,"65,000.00"
73592-15,Mission Economic Development Agency,2301 Mission Street Suite 301,Public Services - Access to Housing,,,"50,000.00",,,,,"50,000.00"
73611-15,Mission Economic Development Agency,2301 Mission Street Suite 301,Public Services - Financial Education,,,,"50,000.00",,,,"50,000.00"
73634-15,Mission Economic Development Agency,2301 Mission Street Suite 301,Public Services - Sustainable Homeownership,,,,"70,000.00",,,,"70,000.00"
76059-15,Mission Economic Development Agency,2301 Mission St. Ste. 301,Capital Projects,,,,,,,"166,115.00","166,115.00"
75071-15,Mission Hiring Hall,1048 Folsom Street,Public Services - Neighborhood and Business Coordination,,,,,,"75,000.00",,"75,000.00"
73620-15,"Mission Language and Vocational School, Inc.",2929 19th Street,Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
78046-15,"Mission Language and Vocational School, Inc.",2929 - 19th Street,Capital Projects,,,,"68,420.00",,,,"68,420.00"
73518-15,Mission Neighborhood Centers,534 Precita Avenue,Public Services - Foundational Competencies,,,,"55,000.00",,,,"55,000.00"
76057-15,Mission Neighborhood Centers,534 Precita Ave.,Capital Projects,,,,"239,922.68",,,,"239,922.68"
76056-15,Mission Neighborhood Centers,362 Capp Street,Capital Projects,,,,,,,"350,000.00","350,000.00"
73519-15,Mission Neighborhood Health Center,165 Capp Street,Public Services - Homeless Services,,,,"46,873.00",,,,"46,873.00"
74636-15,Mujeres Unidas Activas,"3543 18th St., #23",Public Services - Legal Services,"205,000.00",,,,,,,"205,000.00"
73520-15,My Path,2430 Mission Street,Public Services - Financial Education,,,,"50,000.00",,,,"50,000.00"
73521-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Eviction Prevention,"76,659.38",,,,,,,"76,659.38"
73588-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Legal Services,"49,182.59",,,,,,,"49,182.59"
73678-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Eviction Prevention,"60,412.00",,,,,,,"60,412.00"
73680-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Legal Services,,,,"75,000.00",,,,"75,000.00"
73681-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Legal Services,"47,272.00",,,,,,,"47,272.00"
73727-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Legal Services,"87,125.00",,,,,,,"87,125.00"
74637-15,Nihonmachi Legal Outreach,1121 Mission Street,Public Services - Eviction Prevention,"256,250.00",,,,,,,"256,250.00"
76987-15,Nihonmachi Little Friends,1834 Sutter Street,Capital Projects,,,,"100,000.00",,,,"100,000.00"
73523-15,Northeast Community Federal Credit Union,683 Clay Street,Public Services - Financial Education,,,,"50,000.00",,,,"50,000.00"
73524-15,Northern California Community Loan Fund,"870 Market St., Suite 677",Organizational Capacity Building,"89,258.00",,,"64,076.00",,,,"153,334.00"
78325-15,Northern California Community Loan Fund,"870 Market Street, Ste. 677",Organizational Capacity Building,,,,"58,963.00",,,,"58,963.00"
82585-15,Northern California Community Loan Fund,870 Market St. Ste. 677,Organizational Capacity Building,"341,000.00",,,,,,,"341,000.00"
82586-15,Northern California Community Loan Fund,"870 Market Street, Suite 677",Organizational Capacity Building,"59,000.00",,,,,,,"59,000.00"
78492-15,Northern California Community Loan Fund,"870 Market Street., Suite 677",Organizational Capacity Building,"1,166,034.70",,,,,,,"1,166,034.70"
76058-15,Northern California Community Loan Fund,"870 Market St., Suite 677",Organizational Capacity Building,"672,723.76",,,,,,,"672,723.76"
82636-15,Northern California Community Loan Fund,"870 Market Street, Suite 677",Community Building and Neighborhood Planning,,,,"50,000.00",,,,"50,000.00"
78695-15,Northern California Presbyterian Homes & Services (NCPHS),"2185 N. California Blvd., Ste. 575",Public Services - Access to Housing,"230,000.00",,,,,,,"230,000.00"
76988-15,Openhouse,55 Laguna Street,Capital Projects,,,,"250,000.00",,,,"250,000.00"
78705-15,Portola Family Connections,2565 San Bruno Avenue,Public Services - Service Connection,"75,000.00",,,,,,,"75,000.00"
73527-15,Portola Family Connections,2565 San Bruno Avenue,Capital Projects,,,,0.00,,,"168,300.00","168,300.00"
73597-15,Positive Resource Center,"785 Market Street, 10th Floor",Public Services - Legal Services,,,,"50,000.00",,,,"50,000.00"
73615-15,Positive Resource Center,"785 Market Street, 10th Floor",Public Services - Foundational Competencies,,,,"50,000.00",,,,"50,000.00"
75072-15,Positive Resource Center,785 Market St 10th Floor,Public Services - Neighborhood and Business Coordination,,,,,,"75,000.00",,"75,000.00"
73529-15,Potrero Hill Neighborhood House,953 DeHaro St,Public Services - Housing Place-Based Services,"80,622.00",,,,,,,"80,622.00"
73530-15,Prevent Child Abuse California,95 Washburn Street,Organizational Capacity Building,,,,"20,000.00",,,,"20,000.00"
74697-15,Prevent Child Abuse California,95 Washburn Street,Organizational Capacity Building,"11,149.35",,,,,,,"11,149.35"
73531-15,Providence Foundation,4601 Third Street,Public Services - Homeless Services,,,,,"45,000.00",,,"45,000.00"
73532-15,Rafiki Coalition for Health and Wellness,601 Cesar Chavez Street,Public Services - Supportive Housing for PLWHA,,"50,000.00",,,,,,"50,000.00"
